ticker,cik,company_name
MMM,0000066740,3M
AOS,0000091142,A. O. Smith
ABT,0000001800,Abbott Laboratories
ABBV,0001551152,AbbVie
ACN,0001467373,Accenture
ADBE,0000796343,Adobe Inc.
AMD,0000002488,Advanced Micro Devices
AES,0000874761,AES Corporation
AFL,0000004977,Aflac
A,0001090872,Agilent Technologies
APD,0000002969,Air Products
ABNB,0001559720,Airbnb
AKAM,0001086222,Akamai Technologies
ALB,0000915913,Albemarle Corporation
ARE,0001035443,Alexandria Real Estate Equities
ALGN,0001097149,Align Technology
ALLE,0001579241,Allegion
LNT,0000352541,Alliant Energy
ALL,0000899051,Allstate
GOOGL,0001652044,Alphabet Inc. (Class A)
GOOG,0001652044,Alphabet Inc. (Class C)
MO,0000764180,Altria
AMZN,0001018724,Amazon
AMCR,0001748790,Amcor
AEE,0001002910,Ameren
AEP,0000004904,American Electric Power
AXP,0000004962,American Express
AIG,0000005272,American International Group
AMT,0001053507,American Tower
AWK,0001410636,American Water Works
AMP,0000820027,Ameriprise Financial
AME,0001037868,Ametek
AMGN,0000318154,Amgen
APH,0000820313,Amphenol
ADI,0000006281,Analog Devices
AON,0000315293,Aon plc
APA,0001841666,APA Corporation
APO,0001858681,Apollo Global Management
AAPL,0000320193,Apple Inc.
AMAT,0000006951,Applied Materials
APP,0001751008,AppLovin
APTV,0001521332,Aptiv
ACGL,0000947484,Arch Capital Group
ADM,0000007084,Archer Daniels Midland
ARES,0001176948,Ares Management
ANET,0001596532,Arista Networks
AJG,0000354190,Arthur J. Gallagher & Co.
AIZ,0001267238,Assurant
T,0000732717,AT&T
ATO,0000731802,Atmos Energy
ADSK,0000769397,Autodesk
ADP,0000008670,Automatic Data Processing
AZO,0000866787,AutoZone
AVB,0000915912,AvalonBay Communities
AVY,0000008818,Avery Dennison
AXON,0001069183,Axon Enterprise
BKR,0001701605,Baker Hughes
BALL,0000009389,Ball Corporation
BAC,0000070858,Bank of America
BAX,0000010456,Baxter International
BDX,0000010795,Becton Dickinson
BRK-B,0001067983,Berkshire Hathaway
BBY,0000764478,Best Buy
TECH,0000842023,Bio-Techne
BIIB,0000875045,Biogen
BLK,0002012383,BlackRock
BX,0001393818,Blackstone Inc.
XYZ,0001512673,"Block, Inc."
BNY,0001390777,BNY Mellon
BA,0000012927,Boeing
BKNG,0001075531,Booking Holdings
BSX,0000885725,Boston Scientific
BMY,0000014272,Bristol Myers Squibb
AVGO,0001730168,Broadcom
BR,0001383312,Broadridge Financial Solutions
BRO,0000079282,Brown & Brown
BF-B,0000014693,Brown–Forman
BLDR,0001316835,Builders FirstSource
BG,0001996862,Bunge Global
BXP,0001037540,"BXP, Inc."
CHRW,0001043277,C.H. Robinson
CDNS,0000813672,Cadence Design Systems
CPT,0000906345,Camden Property Trust
COF,0000927628,Capital One
CAH,0000721371,Cardinal Health
CCL,0000815097,Carnival Corporation
CARR,0001783180,Carrier Global
CVNA,0001690820,Carvana
CASY,0000726958,Casey's
CAT,0000018230,Caterpillar Inc.
CBOE,0001374310,Cboe Global Markets
CBRE,0001138118,CBRE Group
CDW,0001402057,CDW Corporation
COR,0001140859,Cencora
CNC,0001071739,Centene Corporation
CNP,0001130310,CenterPoint Energy
CF,0001324404,CF Industries
CRL,0001100682,Charles River Laboratories
SCHW,0000316709,Charles Schwab Corporation
CHTR,0001091667,Charter Communications
CVX,0000093410,Chevron Corporation
CMG,0001058090,Chipotle Mexican Grill
CB,0000896159,Chubb Limited
CHD,0000313927,Church & Dwight
CIEN,0000936395,Ciena
CI,0001739940,Cigna
CINF,0000020286,Cincinnati Financial
CTAS,0000723254,Cintas
CSCO,0000858877,Cisco
C,0000831001,Citigroup
CFG,0000759944,Citizens Financial Group
CLX,0000021076,Clorox
CME,0001156375,CME Group
CMS,0000811156,CMS Energy
KO,0000021344,Coca-Cola Company (The)
CTSH,0001058290,Cognizant
COHR,0000820318,Coherent Corp.
COIN,0001679788,Coinbase
CL,0000021665,Colgate-Palmolive
CMCSA,0001166691,Comcast
FIX,0001035983,Comfort Systems USA
COP,0001163165,ConocoPhillips
ED,0001047862,Consolidated Edison
STZ,0000016918,Constellation Brands
CEG,0001868275,Constellation Energy
COO,0000711404,Cooper Companies (The)
CPRT,0000900075,Copart
GLW,0000024741,Corning Inc.
CPAY,0001175454,Corpay
CTVA,0001755672,Corteva
CSGP,0001057352,CoStar Group
COST,0000909832,Costco
CRH,0000849395,CRH plc
CRWD,0001535527,CrowdStrike
CCI,0001051470,Crown Castle
CSX,0000277948,CSX Corporation
CMI,0000026172,Cummins
CVS,0000064803,CVS Health
DHR,0000313616,Danaher Corporation
DRI,0000940944,Darden Restaurants
DDOG,0001561550,Datadog
DVA,0000927066,DaVita
DECK,0000910521,Deckers Brands
DE,0000315189,Deere & Company
DELL,0001571996,Dell Technologies
DAL,0000027904,Delta Air Lines
DVN,0001090012,Devon Energy
DXCM,0001093557,Dexcom
FANG,0001539838,Diamondback Energy
DLR,0001297996,Digital Realty
DG,0000029534,Dollar General
DLTR,0000935703,Dollar Tree
D,0000715957,Dominion Energy
DPZ,0001286681,Domino's
DASH,0001792789,DoorDash
DOV,0000029905,Dover Corporation
DOW,0001751788,Dow Inc.
DHI,0000882184,D. R. Horton
DTE,0000936340,DTE Energy
DUK,0001326160,Duke Energy
DD,0001666700,DuPont
ETN,0001551182,Eaton Corporation
EBAY,0001065088,eBay Inc.
ECHO,0001415404,EchoStar
ECL,0000031462,Ecolab
EIX,0000827052,Edison International
EW,0001099800,Edwards Lifesciences
EA,0000712515,Electronic Arts
ELV,0001156039,Elevance Health
EME,0000105634,Emcor
EMR,0000032604,Emerson Electric
ETR,0000065984,Entergy
EOG,0000821189,EOG Resources
EQT,0000033213,EQT Corporation
EFX,0000033185,Equifax
EQIX,0001101239,Equinix
EQR,0000906107,Equity Residential
ERIE,0000922621,Erie Indemnity
ESS,0000920522,Essex Property Trust
EL,0001001250,Estée Lauder Companies (The)
EG,0001095073,Everest Group
EVRG,0001711269,Evergy
ES,0000072741,Eversource Energy
EXC,0001109357,Exelon
EXE,0000895126,Expand Energy
EXPE,0001324424,Expedia Group
EXPD,0000746515,Expeditors International
EXR,0001289490,Extra Space Storage
XOM,0000034088,ExxonMobil
FFIV,0001048695,"F5, Inc."
FDS,0001013237,FactSet
FICO,0000814547,Fair Isaac
FAST,0000815556,Fastenal
FRT,0000034903,Federal Realty Investment Trust
FDX,0001048911,FedEx
FDXF,0002082247,FedEx Freight
FIS,0001136893,Fidelity National Information Services
FITB,0000035527,Fifth Third Bancorp
FSLR,0001274494,First Solar
FE,0001031296,FirstEnergy
FISV,0000798354,Fiserv
FLEX,0000866374,Flex Ltd.
F,0000037996,Ford Motor Company
FTNT,0001262039,Fortinet
FTV,0001659166,Fortive
FOXA,0001754301,Fox Corporation (Class A)
FOX,0001754301,Fox Corporation (Class B)
